base64_url,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order,continuous_pickup,continuous_drop_off,network_id
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2722,FLIXBUS-us,FlixBus 2722,Calgary - Edmonton - Regina,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0230,GREYHOUND-us,Greyhound US0230,Boston - New York (Express Service),,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,MX200,FLIXBUS-us,FlixBus MX200,Monterrey -  SLP - Mexico City,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2687,FLIXBUS-us,FlixBus N2687,NYC - Ithaca - Toronto night,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0710s,GREYHOUND-us,Greyhound US0710s,Miami - Titusville - Jacksonville,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0642,GREYHOUND-us,Greyhound US0642,Atlanta - Columbia - Raleigh,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0900D,GREYHOUND-us,Greyhound US0900D,Los Angeles - Las Vegas : Bus Moves,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2686,FLIXBUS-us,FlixBus 2686,NYC - Buffalo,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2686,FLIXBUS-us,FlixBus N2686,NYC - Buffalo,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0112,GREYHOUND-us,Greyhound US0112,Montgomery - Nashville - Detroit,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0656S,GREYHOUND-us,Greyhound US0656S,Raleigh - Wilmington,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US1164,FLIXBUS-us,FlixBus US1164,Dallas - San Antonio - Corpus Christi - Brownsville,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2005,FLIXBUS-us,FlixBus 2005,SF - SLO - Santa Barbara - LA,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2605,FLIXBUS-us,FlixBus N2605,Boston - NYC - Richmond,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2685,FLIXBUS-us,FlixBus N2685,NYC - Toronto night,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0851S,GREYHOUND-us,Greyhound US0851S,San Ysidro - San Diego - Yuma - Phoenix,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,2212,FLIXBUS-us,FlixBus 2212,San Antonio - Houston - New Orleans,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,N2521,FLIXBUS-us,FlixBus N2521,Chicago - St Louis - Atlanta,,3,,73D700,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0421,GREYHOUND-us,Greyhound US0421,New York - Pittsburgh - St. Louis,,3,,004963,FFFFFF,,,,
aHR0cDovL2d0ZnMuZ2lzLmZsaXgudGVjaC9ndGZzX2dlbmVyaWNfdXMuemlw,US0832,GREYHOUND-us,Greyhound US0832,San Ysidro - Tijuana,,3,,004963,FFFFFF,,,,
